Seq#,ID#,Florence,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Related Purchase
1,25,0,1,297,14,2,22,0,1,1,0,0,0,0,0,0,0,0
2,29,0,0,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0
3,46,0,1,138,22,7,56,2,1,2,0,1,0,1,1,0,0,2
4,47,0,1,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0
5,51,0,1,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0
6,60,0,1,145,6,2,12,0,0,0,0,0,0,0,0,0,0,0
7,61,0,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,1
8,79,0,1,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0
9,81,0,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0
10,90,0,1,240,6,3,20,0,0,1,0,0,0,0,0,0,0,0
11,95,0,1,275,2,4,20,0,0,1,0,0,0,0,0,0,0,0
12,100,1,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1
13,103,1,1,268,4,1,4,0,0,0,0,0,0,0,0,0,0,0
14,112,0,0,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0
15,116,0,1,213,4,2,10,0,0,0,0,0,0,0,0,0,0,0
16,121,0,1,256,14,9,58,2,0,3,0,1,1,2,1,1,1,6
17,125,0,1,226,14,6,28,2,1,2,0,0,1,0,1,0,0,2
18,126,0,0,81,22,1,22,0,0,1,0,0,0,0,0,0,0,0
19,127,0,1,330,10,10,38,0,0,2,2,1,1,0,0,0,0,1
20,145,1,1,393,12,11,50,3,0,2,0,0,2,3,0,0,0,5
21,164,0,1,213,2,1,2,0,0,0,0,0,0,0,0,0,0,0
22,169,0,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0
23,193,0,1,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0
24,201,0,1,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0
25,202,0,0,260,34,11,74,0,2,3,5,0,1,0,0,0,0,1
26,208,0,1,32,26,2,32,1,0,0,0,0,0,1,0,0,0,1
27,214,0,0,177,24,1,24,0,0,0,0,0,1,0,0,0,0,1
28,224,0,1,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0
29,225,0,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0
30,256,0,1,133,32,2,36,1,0,1,0,0,0,0,1,0,0,1
31,257,0,1,194,28,2,30,1,0,1,0,0,0,0,1,0,0,1
32,263,0,0,32,14,1,14,0,0,0,0,0,1,0,0,0,0,1
33,265,0,1,352,12,11,66,4,1,3,1,0,1,0,2,0,1,4
34,266,0,1,319,12,8,32,2,1,1,1,0,0,1,0,0,0,1
35,267,0,1,242,10,5,32,0,0,2,0,1,1,0,0,0,0,1
36,275,0,1,78,6,2,10,0,0,0,0,0,0,0,0,0,0,0
37,277,0,1,223,16,7,44,2,1,1,1,0,2,0,1,0,1,4
38,282,0,1,285,14,11,52,2,0,3,4,0,1,1,1,0,0,3
39,288,0,0,312,36,10,58,2,2,2,1,1,1,1,1,1,1,5
40,330,0,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,6
41,333,0,1,280,30,2,34,0,1,1,0,0,0,0,1,0,0,1
42,340,0,1,320,28,3,38,0,0,2,0,0,1,0,0,0,0,1
43,345,0,1,234,4,2,10,0,0,0,0,0,0,0,0,0,0,0
44,347,0,1,105,8,7,40,1,1,1,0,2,0,1,0,0,0,1
45,353,0,0,317,10,3,28,0,0,0,0,0,1,1,0,0,0,2
46,354,0,0,49,22,3,32,0,0,1,1,0,1,0,0,0,0,1
47,356,0,0,189,16,9,68,1,0,1,3,1,1,2,0,0,0,3
48,391,0,1,143,14,9,38,2,2,1,1,1,2,0,0,0,0,2
49,397,0,1,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0
50,401,0,1,355,16,5,28,1,0,2,0,1,1,0,0,0,0,1
51,405,0,0,43,24,2,26,1,0,0,0,0,1,0,0,0,0,1
52,409,0,1,233,30,8,54,0,1,2,2,0,2,1,0,0,0,3
53,411,0,1,210,2,3,20,0,1,0,0,0,0,1,0,0,0,1
54,436,0,0,310,22,5,32,1,1,0,1,0,2,0,0,0,0,2
55,438,0,1,378,10,7,50,0,1,1,1,0,2,1,0,0,0,3
56,439,0,0,305,6,9,40,2,1,1,1,0,2,1,0,0,0,3
57,440,1,1,458,10,12,44,1,0,3,1,1,2,0,2,1,1,6
58,444,0,1,235,14,1,14,0,0,0,0,0,1,0,0,0,0,1
59,450,0,1,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0
60,453,1,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,4
61,477,1,0,123,12,2,16,1,0,0,0,0,0,0,0,0,0,0
62,480,0,1,118,8,2,10,0,0,0,0,0,0,0,0,0,0,0
63,484,0,1,329,12,8,36,0,1,0,0,1,0,1,0,0,0,1
64,505,0,1,350,4,5,16,0,0,2,0,0,0,0,1,0,0,1
65,506,0,1,235,14,1,14,0,0,1,0,0,0,0,0,0,0,0
66,553,0,1,126,16,8,48,2,1,1,2,0,0,2,1,0,0,3
67,557,0,0,274,34,2,40,1,0,0,1,0,0,0,0,0,0,0
68,560,0,1,299,12,3,26,0,0,0,0,0,0,2,0,0,0,2
69,565,0,0,294,10,3,20,0,1,0,0,1,0,0,0,0,0,0
70,567,0,1,135,16,8,60,3,1,0,1,0,2,1,0,0,2,5
71,579,0,0,230,10,2,14,1,0,0,0,0,0,0,0,0,0,0
72,582,1,1,140,2,1,2,0,0,0,0,0,0,0,0,0,0,0
73,585,0,1,307,24,9,46,3,2,0,2,2,0,0,0,0,0,0
74,592,0,1,201,8,1,8,0,0,0,0,0,0,0,0,0,0,0
75,594,0,1,193,16,2,20,1,0,0,0,0,1,0,0,0,0,1
76,609,0,1,112,36,1,36,0,0,1,0,0,0,0,0,0,0,0
77,612,0,0,277,14,1,14,0,0,1,0,0,0,0,0,0,0,0
78,619,0,1,49,10,2,14,0,0,0,1,0,0,0,0,0,0,0
79,625,0,1,149,6,3,18,0,0,0,0,1,0,0,0,0,0,0
80,633,0,1,294,24,2,30,0,0,1,0,1,0,0,0,0,0,0
81,644,0,1,302,6,5,20,0,0,1,0,0,1,0,0,0,0,1
82,649,0,1,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0
83,650,0,1,195,12,2,16,0,0,0,0,1,0,0,0,0,0,0
84,658,0,1,101,16,2,22,0,0,2,0,0,0,0,0,0,0,0
85,687,0,0,178,26,8,56,1,1,2,0,0,2,2,1,0,1,6
86,706,0,1,128,10,2,16,1,0,0,0,0,0,0,0,0,0,0
87,708,1,0,277,30,11,78,2,0,1,1,2,2,3,0,0,0,5
88,712,0,1,306,10,2,16,0,0,0,0,0,1,0,0,0,0,1
89,721,0,1,292,32,2,40,0,0,0,1,0,1,0,0,0,1,2
90,723,1,1,215,2,8,36,0,0,0,0,1,3,2,0,0,0,5
91,743,0,1,240,20,1,20,1,0,0,0,0,0,0,0,0,0,0
92,759,0,0,208,4,1,4,0,0,0,0,0,0,0,0,0,0,0
93,761,0,1,141,10,1,10,0,0,0,0,0,0,0,0,0,0,0
94,764,0,0,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0
95,775,0,1,258,14,5,36,0,0,4,0,1,0,0,0,0,0,0
96,795,0,1,453,14,12,82,1,1,3,1,3,0,3,1,1,0,5
97,800,0,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0
98,803,1,0,187,10,7,30,0,1,1,0,0,1,2,0,0,0,3
99,808,0,0,271,10,2,18,1,0,0,0,0,0,0,0,0,0,0
100,844,0,1,288,22,1,22,0,0,1,0,0,0,0,0,0,0,0
101,850,0,0,194,12,10,62,3,1,2,1,1,0,1,0,0,0,1
102,874,0,1,274,14,11,68,4,1,2,1,0,1,2,2,0,1,6
103,876,0,0,176,6,7,20,2,1,1,0,0,0,0,1,0,0,1
104,883,0,1,182,4,10,34,2,2,0,1,0,0,1,0,0,0,1
105,903,0,0,64,6,2,8,0,0,0,0,0,0,0,0,0,0,0
106,910,0,0,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0
107,915,0,1,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0
108,931,0,1,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0
109,940,0,1,224,28,2,32,0,0,0,1,0,1,0,0,0,1,2
110,942,0,0,123,14,4,32,1,0,1,0,0,1,0,0,0,0,1
111,950,0,1,75,14,1,14,0,1,0,0,0,0,0,0,0,0,0
112,954,0,1,137,16,1,16,0,0,0,0,1,0,0,0,0,0,0
113,966,0,1,266,2,6,30,1,1,0,0,0,1,1,0,0,0,2
114,985,0,1,258,12,1,12,0,0,0,0,0,0,0,0,0,0,0
115,999,0,1,419,14,8,48,1,1,4,1,0,0,1,0,0,0,1
116,1002,0,0,196,2,2,6,0,0,0,0,0,0,0,0,0,0,0
117,1010,0,1,31,6,1,6,0,0,0,0,0,0,0,0,0,0,0
118,1011,0,1,284,10,1,10,0,0,0,0,0,0,0,0,0,0,0
119,1012,0,1,268,14,2,18,1,0,0,0,0,1,0,0,0,0,1
120,1048,0,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0
121,1054,0,0,74,32,2,36,0,0,1,0,0,0,1,0,0,0,1
122,1075,0,1,145,16,2,22,1,1,0,0,0,0,0,0,0,0,0
123,1076,0,0,139,30,2,34,0,0,1,0,1,0,0,0,1,0,1
124,1082,0,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0
125,1087,0,1,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0
126,1088,0,0,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0
127,1093,0,1,263,12,8,58,1,1,3,0,0,1,1,0,0,0,2
